iter	Passed	Remaining
0	383	383132
1	551	275329
2	701	232976
3	854	212660
4	1016	202325
5	1161	192378
6	1308	185574
7	1471	182435
8	1627	179163
9	1797	177943
10	1955	175807
11	2099	172899
12	2244	170416
13	2390	168370
14	2539	166753
15	2686	165212
16	2835	163974
17	3013	164401
18	3186	164509
19	3366	164940
20	3535	164809
21	3695	164292
22	3875	164643
23	4053	164855
24	4227	164853
25	4393	164584
26	4571	164747
27	4755	165093
28	4919	164718
29	5100	164924
30	5259	164394
31	5401	163380
32	5539	162326
33	5690	161684
34	5844	161136
35	5999	160649
36	6146	159987
37	6305	159617
38	6485	159814
39	6662	159906
40	6839	159966
41	6988	159407
42	7145	159028
43	7288	158348
44	7430	157688
45	7575	157101
46	7720	156554
47	7870	156090
48	8035	155958
49	8279	157305
50	8439	157034
51	8603	156853
52	8749	156343
53	8925	156368
54	9108	156504
55	9289	156597
56	9453	156396
57	9636	156503
58	9810	156476
59	9978	156334
60	10141	156109
61	10272	155415
62	10436	155219
63	10595	154957
64	10750	154642
65	10865	153760
66	11015	153393
67	11159	152957
68	11344	153066
69	11522	153090
70	11694	153015
71	11853	152779
72	11998	152367
73	12142	151944
74	12322	151973
75	12519	152211
76	12680	151998
77	12875	152194
78	13055	152200
79	13256	152444
80	13421	152270
81	13569	151908
82	13720	151585
83	13969	152332
84	14165	152490
85	14343	152437
86	14528	152468
87	14711	152468
88	14903	152554
89	15058	152262
90	15311	152950
91	15488	152865
92	15690	153028
93	15869	152959
94	16019	152611
95	16186	152421
96	16379	152478
97	16550	152330
98	16717	152145
99	16866	151800
100	17032	151604
101	17206	151484
102	17368	151261
103	17529	151019
104	17677	150675
105	17838	150452
106	18018	150382
107	18192	150258
108	18364	150116
109	18521	149853
110	18746	150137
111	18915	149975
112	19090	149851
113	19256	149658
114	19425	149492
115	19611	149455
116	19782	149297
117	19948	149106
118	20107	148862
119	20259	148568
120	20423	148364
121	20573	148062
122	20730	147811
123	20890	147584
124	21041	147291
125	21214	147152
126	21379	146961
127	21566	146921
128	21727	146702
129	21872	146376
130	22023	146092
131	22172	145799
132	22317	145483
133	22494	145377
134	22669	145252
135	22868	145283
136	23054	145223
137	23243	145189
138	23403	144965
139	23548	144652
140	23716	144484
141	23898	144399
142	24069	144246
143	24232	144048
144	24409	143930
145	24575	143752
146	24739	143555
147	24911	143411
148	25061	143137
149	25206	142837
150	25361	142592
151	25511	142328
152	25661	142059
153	25809	141786
154	25954	141491
155	26117	141303
156	26308	141259
157	26557	141526
158	26780	141648
159	26957	141526
160	27152	141494
161	27339	141425
162	27567	141558
163	27759	141504
164	27974	141566
165	28146	141411
166	28354	141433
167	28536	141325
168	28720	141222
169	28902	141111
170	29064	140903
171	29239	140756
172	29426	140670
173	29586	140452
174	29779	140388
175	29941	140178
176	30096	139939
177	30237	139635
178	30389	139385
179	30533	139098
180	30703	138930
181	30846	138638
182	30992	138367
183	31167	138221
184	31356	138140
185	31529	137983
186	31727	137938
187	31908	137818
188	32095	137722
189	32279	137614
190	32474	137547
191	32655	137425
192	32875	137464
193	33090	137479
194	33305	137493
195	33529	137539
196	33733	137503
197	33924	137411
198	34100	137259
199	34292	137168
200	34491	137106
201	34699	137081
202	34911	137066
203	35148	137148
204	35363	137141
205	35563	137073
206	35766	137018
207	35956	136910
208	36148	136810
209	36346	136731
210	36577	136775
211	36824	136876
212	37075	136986
213	37262	136859
214	37444	136714
215	37634	136599
216	37847	136564
217	38029	136417
218	38231	136339
219	38443	136298
220	38663	136285
221	38867	136212
222	39031	135998
223	39242	135948
224	39433	135826
225	39629	135722
226	39820	135599
227	40043	135587
228	40260	135549
229	40462	135460
230	40660	135359
231	40854	135241
232	41056	135153
233	41268	135093
234	41449	134932
235	41634	134784
236	41847	134724
237	42041	134603
238	42264	134574
239	42470	134489
240	42881	135049
241	43061	134878
242	43258	134759
243	43438	134587
244	43648	134509
245	43839	134368
246	44017	134191
247	44191	134001
