iter	Passed	Remaining
0	266	266660
1	483	241316
2	700	232655
3	860	214375
4	1029	204829
5	1230	203835
6	1427	202506
7	1630	202140
8	1837	202380
9	2040	201961
10	2200	197802
11	2352	193678
12	2512	190737
13	2686	189224
14	2887	189624
15	3090	190062
16	3235	187082
17	3397	185370
18	3519	181714
19	3634	178081
20	3808	177533
21	4030	179169
22	4286	182072
23	4484	182367
24	4685	182744
25	4883	182947
26	5063	182481
27	5257	182505
28	5480	183495
29	5680	183653
30	5887	184029
31	6113	184938
32	6348	186022
33	6545	185961
34	6733	185658
35	6912	185097
36	7122	185389
37	7307	185006
38	7465	183962
39	7620	182883
40	7793	182294
41	7995	182380
42	8167	181769
43	8327	180924
44	8460	179543
45	8571	177774
46	8748	177393
47	9008	178676
48	9208	178716
49	9384	178308
50	9573	178148
51	9769	178108
52	9966	178079
53	10147	177760
54	10362	178052
55	10555	177941
56	10737	177642
57	10917	177308
58	11116	177291
59	11317	177311
60	11518	177304
61	11710	177168
62	11875	176628
63	12034	176004
64	12191	175363
65	12340	174636
66	12495	174003
67	12650	173389
68	12823	173017
69	12951	172072
70	13103	171451
71	13249	170775
72	13396	170118
73	13513	169104
74	13642	168255
75	13848	168368
76	14027	168150
77	14189	167721
78	14362	167443
79	14551	167345
80	14742	167258
81	14933	167178
82	15118	167033
83	15341	167299
84	15558	167483
85	15764	167548
86	15965	167547
87	16210	167997
88	16464	168528
89	16715	169016
90	16960	169420
91	17170	169470
92	17385	169555
93	17586	169502
94	17796	169531
95	18018	169672
96	18154	169003
97	18312	168548
98	18454	167951
99	18582	167240
100	18787	167223
101	18984	167136
102	19141	166694
103	19299	166273
104	19453	165814
105	19640	165645
106	19840	165586
107	20040	165520
108	20241	165460
109	20401	165064
110	20599	164984
111	20809	164988
112	21009	164912
113	21224	164954
114	21467	165208
115	21723	165548
116	21963	165755
117	22155	165606
118	22370	165619
119	22546	165344
120	22702	164921
121	22875	164628
122	23004	164021
123	23137	163457
124	23291	163037
125	23436	162568
126	23593	162183
127	23780	162003
128	24007	162096
129	24210	162024
130	24444	162152
131	24688	162346
132	24908	162370
133	25097	162197
134	25289	162041
135	25468	161802
136	25684	161791
137	25883	161676
138	26081	161554
139	26286	161471
140	26517	161547
141	26706	161367
142	26898	161202
143	27082	160992
144	27255	160714
145	27470	160682
146	27665	160536
147	27864	160407
148	28013	159995
149	28154	159544
150	28302	159130
151	28438	158659
152	28618	158432
153	28777	158087
154	28986	158020
155	29165	157792
156	29328	157474
157	29496	157191
158	29668	156925
159	29861	156773
160	30046	156575
161	30242	156442
162	30443	156324
163	30643	156206
164	30840	156069
165	31039	155944
166	31239	155825
167	31485	155926
